"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SUICIDE","TOT","100000PER","A","2014",12.2,
"AUT","SUICIDE","TOT","100000PER","A","2014",13.9,
"BEL","SUICIDE","TOT","100000PER","A","2014",16.1,
"CZE","SUICIDE","TOT","100000PER","A","2014",13.3,
"DNK","SUICIDE","TOT","100000PER","A","2014",10.6,
"FIN","SUICIDE","TOT","100000PER","A","2014",14.1,
"DEU","SUICIDE","TOT","100000PER","A","2014",10.8,
"GRC","SUICIDE","TOT","100000PER","A","2014",4.7,
"HUN","SUICIDE","TOT","100000PER","A","2014",17.8,
"ISL","SUICIDE","TOT","100000PER","A","2014",13.8,
"JPN","SUICIDE","TOT","100000PER","A","2014",17.6,
"LUX","SUICIDE","TOT","100000PER","A","2014",11.8,
"MEX","SUICIDE","TOT","100000PER","A","2014",5.5,
"NLD","SUICIDE","TOT","100000PER","A","2014",10.4,
"NOR","SUICIDE","TOT","100000PER","A","2014",10.5,
"POL","SUICIDE","TOT","100000PER","A","2014",14.8,
"PRT","SUICIDE","TOT","100000PER","A","2014",10,
"SVK","SUICIDE","TOT","100000PER","A","2014",9.7,
"ESP","SUICIDE","TOT","100000PER","A","2014",7.6,
"SWE","SUICIDE","TOT","100000PER","A","2014",11.4,
"USA","SUICIDE","TOT","100000PER","A","2014",13.5,
"BRA","SUICIDE","TOT","100000PER","A","2014",5.7,
"CHL","SUICIDE","TOT","100000PER","A","2014",10.4,
"EST","SUICIDE","TOT","100000PER","A","2014",17.5,
"ISR","SUICIDE","TOT","100000PER","A","2014",5.5,
"SVN","SUICIDE","TOT","100000PER","A","2014",16.9,
"ZAF","SUICIDE","TOT","100000PER","A","2014",1.2,
"LVA","SUICIDE","TOT","100000PER","A","2014",18.1,
"LTU","SUICIDE","TOT","100000PER","A","2014",29.8,
"CRI","SUICIDE","TOT","100000PER","A","2014",5.7,
